sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
22500000000,0,25856319488,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,26149920768,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23500000000,0,26539991040,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
24000000000,0,26812620800,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
24500000000,0,27192205312,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
25000000000,0,27502583808,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
25500000000,0,27691327488,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
26000000000,0,27989123072,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
26500000000,0,28333056000,28868622680,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
27000000000,0,28089786368,28868622680,624951296,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,624951296,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
27500000000,0,28152700928,28868622680,935329792,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,935329792,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
28000000000,0,28297404416,28868622680,935329792,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,935329792,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
28500000000,0,28075106304,28868622680,1551892480,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1551892480,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
29000000000,0,28146409472,28868622680,1862270976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1862270976,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
29500000000,0,28360318976,28868622680,1862270976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1862270976,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
30000000000,0,28232392704,28868622680,2246049792,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2246049792,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
30500000000,0,28081397760,28868622680,2550136832,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2550136832,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
31000000000,0,28330958848,28868622680,2550136832,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2550136832,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
31500000000,0,28230295552,28868622680,2921332736,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2921332736,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
32000000000,0,28253364224,28868622680,3214934016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3214934016,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
32500000000,0,28293210112,28868622680,3508535296,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3508535296,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
33000000000,0,28335153152,28868622680,3802136576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3802136576,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
33500000000,0,28091883520,28868622680,4156555264,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4156555264,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
34000000000,0,28003803136,28868622680,4433379328,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4433379328,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
34500000000,0,28221906944,28868622680,4433379328,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4433379328,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
35000000000,0,28041551872,28868622680,4779409408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4779409408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
35500000000,0,28173672448,28868622680,5127536640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5127536640,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
36000000000,0,28188352512,28868622680,5473566720,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5473566720,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
36500000000,0,28073009152,28868622680,5750390784,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5750390784,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
37000000000,0,28131729408,28868622680,6092226560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,6092226560,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
37500000000,0,28033163264,28868622680,6436159488,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,6436159488,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
38000000000,0,28131729408,28868622680,6704594944,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,6704594944,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
38500000000,0,28062523392,28868622680,7040139264,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,7040139264,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
39000000000,0,28188352512,28868622680,7040139264,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,7040139264,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
39500000000,0,28272238592,28868622680,7308574720,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,7308574720,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
40000000000,0,28104466432,28868622680,7644119040,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,7644119040,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
40500000000,0,28104466432,28868622680,7979663360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,7979663360,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
41000000000,0,28049940480,28868622680,8252293120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,8252293120,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
41500000000,0,28182061056,28868622680,8587837440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,8587837440,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
42000000000,0,28251267072,28868622680,8849981440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,8849981440,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
42500000000,0,28173672448,28868622680,9175040000,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,9175040000,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
43000000000,0,28253364224,28868622680,9435086848,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,9435086848,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
43500000000,0,28039454720,28868622680,9760145408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,9760145408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
44000000000,0,28125437952,28868622680,9760145408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,9760145408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
44500000000,0,28043649024,28868622680,10078912512,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10078912512,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
45000000000,0,28188352512,28868622680,10393485312,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10393485312,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
45500000000,0,28211421184,28868622680,10710155264,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10710155264,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
46000000000,0,28263849984,28868622680,11026825216,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,11026825216,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
46500000000,0,27942985728,28868622680,11655970816,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,11655970816,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
47000000000,0,28081397760,28868622680,11655970816,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,11655970816,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
47500000000,0,28003803136,28868622680,11970543616,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,11970543616,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
48000000000,0,28173672448,28868622680,11970543616,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,11970543616,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
48500000000,0,28213518336,28868622680,12285116416,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,12285116416,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
49000000000,0,28047843328,28868622680,12599689216,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,12599689216,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
49500000000,0,28165283840,28868622680,12910067712,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,12910067712,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
50000000000,0,28280627200,28868622680,13161725952,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,13161725952,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
50500000000,0,28049940480,28868622680,13476298752,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,13476298752,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
51000000000,0,28238684160,28868622680,13476298752,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,13476298752,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
51500000000,0,28028968960,28868622680,14040432640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14101250048,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
52000000000,0,28217712640,28868622680,14040432640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14101250048,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
52500000000,0,28020580352,28868622680,14355005440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14415822848,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
53000000000,0,27987025920,28868622680,14669578240,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14730395648,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
53500000000,0,28209324032,28868622680,14669578240,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14730395648,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
54000000000,0,28179963904,28868622680,14925430784,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14986248192,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
54500000000,0,28215615488,28868622680,15185477632,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,15246295040,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
55000000000,0,28198838272,28868622680,15439233024,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,15500050432,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
55500000000,0,28148506624,28868622680,15758000128,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,15818817536,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
56000000000,0,28062523392,28868622680,16018046976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,16078864384,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
