dataset,seed,capacity_pct,policy,throughput_tok_s,mean_latency_s,p99_latency_s,spills,movement_gib,capacity_blocked_unique,capacity_block_wait_request_s,policy_deferred_unique,policy_wait_request_s,average_batch_size,average_decode_batch_size,mean_active_decode_requests,mean_eligible_queue_requests
sharegpt1000,43,120,lru,4154.41,20.456713366862,66.417734378,0,0.0,0,0.0,0,0.0,132.70716658756527,132.2325581395349,171.59915611814347,0.012658227848101266
sharegpt1000,43,120,reserve_lru,4154.41,20.456713366862,66.417734378,0,0.0,0,0.0,0,0.0,132.70716658756527,132.2325581395349,171.59915611814347,0.012658227848101266
sharegpt1000,44,70,lru,2876.18,55.118316908835,93.960439632,92,4.462890625,811,41686.816028588,0,0.0,73.60200052645433,73.3387733614109,181,242.50145772594752
sharegpt1000,44,70,reserve_lru,4032.21,23.901703113825,98.326860417,205,15.3984375,0,0.0,184,4340.253356056,126.17960288808665,125.7283393501805,194.89344262295083,35.622950819672134
sharegpt1000,44,85,lru,3375.9,36.827864012501,78.966213282,53,2.267578125,727,20406.310866772,0,0.0,93.95631720430107,93.62029569892474,194.08219178082192,144.91095890410958
sharegpt1000,44,85,reserve_lru,4032.21,21.071884616214,76.28259476,64,5.318359375,0,0.0,59,720.725498929,126.17960288808665,125.7283393501805,171.65573770491804,5.889344262295082
sharegpt1000,44,120,lru,4032.21,20.445272640004,64.321535483,0,0.0,0,0.0,0,0.0,126.17960288808665,125.7283393501805,166.49590163934425,0
sharegpt1000,44,120,reserve_lru,4032.21,20.445272640004,64.321535483,0,0.0,0,0.0,0,0.0,126.17960288808665,125.7283393501805,166.49590163934425,0
fixed512,42,70,lru,1785.42,119.18323426261328,145.829472594,1,0.04296875,511,49618.769945294,0,0.0,62.653919694072655,62.53154875717017,279.2397820163488,270.59128065395095
fixed512,42,70,reserve_lru,3288.57,68.13816602039257,98.472117485,345,21.9453125,0,0.0,345,14055.202370838,182.29763560500695,181.94158553546592,350.035175879397,141.38693467336682
fixed512,42,85,lru,2134.1,97.44757561554492,119.136446192,0,0.0,498,36397.469535007,0,0.0,81.25976441413515,81.10105393676379,310.5472312703583,233.99348534201954
fixed512,42,85,reserve_lru,3456.63,63.68201201403906,92.498630512,307,21.359375,0,0.0,307,10266.971018947,206.57525610717101,206.1717888100867,344.3015873015873,108.7936507936508
fixed512,42,120,lru,3512.88,44.8136251001875,48.953898045,0,0.0,0,0.0,0,0.0,212.43435980551052,212.0194489465154,245.88172043010752,0
fixed512,42,120,reserve_lru,3512.88,44.8136251001875,48.953898045,0,0.0,0,0.0,0,0.0,212.43435980551052,212.0194489465154,245.88172043010752,0
fixed512,43,70,lru,2057.06,100.98297021655273,123.738800747,0,0.0,491,38535.293907558,0,0.0,77.05584950029395,76.90534979423869,301.6132075471698,245.0251572327044
fixed512,43,70,reserve_lru,3405.86,63.345029870521486,92.581927987,306,20.95703125,0,0.0,306,10314.559590085,199.19756838905775,198.80851063829786,337.15625,107.57291666666667
fixed512,43,85,lru,2882.6,67.90943461700977,84.256088594,0,0.0,445,18018.274225449,0,0.0,135.89631933644375,135.63089683773975,304.9383259911894,158.6431718061674
fixed512,43,85,reserve_lru,3512.88,53.05601749473242,80.363503487,185,13.4609375,0,0.0,185,4327.425096179,212.43435980551052,212.0194489465154,291.28494623655916,46.553763440860216
fixed512,43,120,lru,3512.88,44.881639891695315,48.923294043,0,0.0,0,0.0,0,0.0,212.43435980551052,212.0194489465154,246.25806451612902,0
fixed512,43,120,reserve_lru,3512.88,44.881639891695315,48.923294043,0,0.0,0,0.0,0,0.0,212.43435980551052,212.0194489465154,246.25806451612902,0
fixed512,44,70,lru,1965.62,107.6294910277539,131.380489578,0,0.0,492,41422.196491776,0,0.0,72.01758241758242,71.87692307692308,298.07207207207205,247.44444444444446
fixed512,44,70,reserve_lru,3411.52,63.277739164722654,92.745024146,301,20.21875,0,0.0,301,10311.147605458,199.95728451563693,199.56674294431733,336.7916666666667,107.53645833333333
fixed512,44,85,lru,2819.49,70.79301674619336,87.208546355,0,0.0,466,19506.560785465,0,0.0,129.90287413280475,129.64915758176411,307,165.38362068965517
fixed512,44,85,reserve_lru,3512.88,55.88897162600586,82.676571386,226,16.5078125,0,0.0,226,5748.151952387,212.43435980551052,212.0194489465154,306.86559139784947,61.89247311827957
fixed512,44,120,lru,3512.88,45.00089319313281,48.960303907,0,0.0,0,0.0,0,0.0,212.43435980551052,212.0194489465154,246.79569892473117,0
fixed512,44,120,reserve_lru,3512.88,45.00089319313281,48.960303907,0,0.0,0,0.0,0,0.0,212.43435980551052,212.0194489465154,246.79569892473117,0
