prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,1024,128,1024,50.336
0,1024,128,2048,50.691
0,1024,256,0,3.31
0,1024,256,64,3.304
0,1024,256,128,3.323
0,1024,256,256,94.518
0,1024,256,512,95.857
0,1024,256,1024,96.077
0,1024,256,2048,96.273
0,2048,1,0,6.629
0,2048,1,64,6.653
0,2048,1,128,8.546
0,2048,1,256,12.615
0,2048,1,512,21.027
0,2048,1,1024,37.683
0,2048,1,2048,70.279
0,2048,2,0,6.405
0,2048,2,64,6.429
0,2048,2,128,7.02
0,2048,2,256,9.542
0,2048,2,512,13.478
0,2048,2,1024,21.624
0,2048,2,2048,38.281
0,2048,4,0,6.467
0,2048,4,64,6.467
0,2048,4,128,6.472
0,2048,4,256,7.028
0,2048,4,512,9.513
0,2048,4,1024,13.502
0,2048,4,2048,21.836
0,2048,8,0,6.664
0,2048,8,64,6.664
0,2048,8,128,6.688
0,2048,8,256,6.728
0,2048,8,512,7.571
0,2048,8,1024,9.589
0,2048,8,2048,14.238
0,2048,16,0,8.648
0,2048,16,64,8.65
0,2048,16,128,8.686
0,2048,16,256,8.804
0,2048,16,512,8.964
0,2048,16,1024,9.475
0,2048,16,2048,13.747
0,2048,32,0,13.627
0,2048,32,64,15.126
0,2048,32,128,15.161
0,2048,32,256,15.23
0,2048,32,512,15.278
0,2048,32,1024,15.486
0,2048,32,2048,17.012
0,2048,64,0,3.22
0,2048,64,64,24.869
0,2048,64,128,27.546
0,2048,64,256,27.561
0,2048,64,512,27.563
0,2048,64,1024,27.723
0,2048,64,2048,27.98
0,2048,128,0,3.208
0,2048,128,64,3.205
0,2048,128,128,50.403
0,2048,128,256,50.385
0,2048,128,512,50.313
0,2048,128,1024,50.336
0,2048,128,2048,50.691
0,2048,256,0,3.31
0,2048,256,64,3.304
0,2048,256,128,3.323
0,2048,256,256,94.518
0,2048,256,512,95.857
0,2048,256,1024,96.077
0,2048,256,2048,96.273
32,0,0,0,6.584
32,0,0,64,6.584
32,0,0,128,6.584
32,0,0,256,6.584
32,0,0,512,6.584
32,0,0,1024,6.584
32,0,0,2048,6.584
32,0,1,0,13.213
32,0,1,64,13.237
32,0,1,128,15.13
32,0,1,256,19.199
32,0,1,512,27.611
32,0,1,1024,44.267
32,0,1,2048,76.863
32,0,2,0,12.989
32,0,2,64,13.013
32,0,2,128,13.604
32,0,2,256,16.126
32,0,2,512,20.062
32,0,2,1024,28.208
32,0,2,2048,44.865
32,0,4,0,13.051
32,0,4,64,13.051
32,0,4,128,13.056
32,0,4,256,13.612
32,0,4,512,16.097
32,0,4,1024,20.086
32,0,4,2048,28.42
32,0,8,0,13.248
32,0,8,64,13.248
32,0,8,128,13.272
32,0,8,256,13.312
32,0,8,512,14.155
32,0,8,1024,16.173
32,0,8,2048,20.822
32,0,16,0,15.232
32,0,16,64,15.234
32,0,16,128,15.27
32,0,16,256,15.388
32,0,16,512,15.548
32,0,16,1024,16.059
32,0,16,2048,20.331
32,0,32,0,20.211
32,0,32,64,21.71
32,0,32,128,21.745
32,0,32,256,21.814
32,0,32,512,21.862
32,0,32,1024,22.07
32,0,32,2048,23.596
32,0,64,0,9.804
32,0,64,64,31.453
32,0,64,128,34.13
32,0,64,256,34.145
32,0,64,512,34.147
32,0,64,1024,34.307
32,0,64,2048,34.564
32,0,128,0,9.792
32,0,128,64,9.789
32,0,128,128,56.987
32,0,128,256,56.969
32,0,128,512,56.897
32,0,128,1024,56.92
32,0,128,2048,57.275
32,0,256,0,9.894
32,0,256,64,9.888
32,0,256,128,9.907
32,0,256,256,101.102
32,0,256,512,102.441
32,0,256,1024,102.661
32,0,256,2048,102.857
32,64,0,0,6.588
32,64,0,64,6.588
32,64,0,128,6.588
32,64,0,256,6.588
32,64,0,512,6.588
32,64,0,1024,6.588
32,64,0,2048,6.588
32,64,1,0,13.217
32,64,1,64,13.241
32,64,1,128,15.134
32,64,1,256,19.203
32,64,1,512,27.615
32,64,1,1024,44.271
32,64,1,2048,76.867
32,64,2,0,12.993
32,64,2,64,13.017
32,64,2,128,13.608
32,64,2,256,16.13
32,64,2,512,20.066
32,64,2,1024,28.212
32,64,2,2048,44.869
32,64,4,0,13.055
32,64,4,64,13.055
32,64,4,128,13.06
32,64,4,256,13.616
32,64,4,512,16.101
32,64,4,1024,20.09
32,64,4,2048,28.424
32,64,8,0,13.252
32,64,8,64,13.252
32,64,8,128,13.276
32,64,8,256,13.316
32,64,8,512,14.159
32,64,8,1024,16.177
32,64,8,2048,20.826
32,64,16,0,15.236
32,64,16,64,15.238
32,64,16,128,15.274
32,64,16,256,15.392
32,64,16,512,15.552
32,64,16,1024,16.063
32,64,16,2048,20.335
32,64,32,0,20.215
32,64,32,64,21.714
32,64,32,128,21.749
32,64,32,256,21.818
32,64,32,512,21.866
32,64,32,1024,22.074
32,64,32,2048,23.6
32,64,64,0,9.808
32,64,64,64,31.457
32,64,64,128,34.134
32,64,64,256,34.149
32,64,64,512,34.151
32,64,64,1024,34.311
32,64,64,2048,34.568
32,64,128,0,9.796
32,64,128,64,9.793
32,64,128,128,56.991
32,64,128,256,56.973
32,64,128,512,56.901
32,64,128,1024,56.924
32,64,128,2048,57.279
32,64,256,0,9.898
32,64,256,64,9.892
32,64,256,128,9.911
32,64,256,256,101.106
32,64,256,512,102.445
32,64,256,1024,102.665
32,64,256,2048,102.861
32,128,0,0,8.836
32,128,0,64,8.836
32,128,0,128,8.836
32,128,0,256,8.836
32,128,0,512,8.836
32,128,0,1024,8.836
32,128,0,2048,8.836
32,128,1,0,15.465
32,128,1,64,15.489
32,128,1,128,17.382
32,128,1,256,21.451
32,128,1,512,29.863
32,128,1,1024,46.519
32,128,1,2048,79.115
32,128,2,0,15.241
32,128,2,64,15.265
32,128,2,128,15.856
32,128,2,256,18.378
32,128,2,512,22.314
32,128,2,1024,30.46
32,128,2,2048,47.117
32,128,4,0,15.303
32,128,4,64,15.303
32,128,4,128,15.308
32,128,4,256,15.864
32,128,4,512,18.349
32,128,4,1024,22.338
32,128,4,2048,30.672
32,128,8,0,15.5
32,128,8,64,15.5
32,128,8,128,15.524
32,128,8,256,15.564
32,128,8,512,16.407
32,128,8,1024,18.425
32,128,8,2048,23.074
32,128,16,0,17.484
32,128,16,64,17.486
32,128,16,128,17.522
32,128,16,256,17.64
32,128,16,512,17.8
32,128,16,1024,18.311
32,128,16,2048,22.583
32,128,32,0,22.463
32,128,32,64,23.962
32,128,32,128,23.997
32,128,32,256,24.066
32,128,32,512,24.114
32,128,32,1024,24.322
32,128,32,2048,25.848
32,128,64,0,12.056
32,128,64,64,33.705
32,128,64,128,36.382
32,128,64,256,36.397
32,128,64,512,36.399
32,128,64,1024,36.559
32,128,64,2048,36.816
32,128,128,0,12.044
32,128,128,64,12.041
32,128,128,128,59.239
32,128,128,256,59.221
32,128,128,512,59.149
32,128,128,1024,59.172
32,128,128,2048,59.527
32,128,256,0,12.146
32,128,256,64,12.14
32,128,256,128,12.159
32,128,256,256,103.354
32,128,256,512,104.693
32,128,256,1024,104.913
32,128,256,2048,105.109
32,256,0,0,13.025
32,256,0,64,13.025
32,256,0,128,13.025
32,256,0,256,13.025
32,256,0,512,13.025
32,256,0,1024,13.025
32,256,0,2048,13.025
32,256,1,0,19.654
