prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,128,32,2048,13.97
0,128,64,0,2.644
0,128,64,64,20.422
0,128,64,128,22.62
0,128,64,256,22.633
0,128,64,512,22.634
0,128,64,1024,22.766
0,128,64,2048,22.977
0,128,128,0,2.634
0,128,128,64,2.632
0,128,128,128,41.39
0,128,128,256,41.375
0,128,128,512,41.316
0,128,128,1024,41.335
0,128,128,2048,41.627
0,128,256,0,2.718
0,128,256,64,2.713
0,128,256,128,2.729
0,128,256,256,77.617
0,128,256,512,78.716
0,128,256,1024,78.897
0,128,256,2048,79.058
0,256,1,0,5.444
0,256,1,64,5.463
0,256,1,128,7.018
0,256,1,256,10.359
0,256,1,512,17.267
0,256,1,1024,30.945
0,256,1,2048,57.712
0,256,2,0,5.26
0,256,2,64,5.279
0,256,2,128,5.765
0,256,2,256,7.836
0,256,2,512,11.068
0,256,2,1024,17.757
0,256,2,2048,31.436
0,256,4,0,5.311
0,256,4,64,5.311
0,256,4,128,5.315
0,256,4,256,5.771
0,256,4,512,7.812
0,256,4,1024,11.088
0,256,4,2048,17.931
0,256,8,0,5.472
0,256,8,64,5.472
0,256,8,128,5.492
0,256,8,256,5.525
0,256,8,512,6.217
0,256,8,1024,7.874
0,256,8,2048,11.692
0,256,16,0,7.102
0,256,16,64,7.103
0,256,16,128,7.133
0,256,16,256,7.23
0,256,16,512,7.361
0,256,16,1024,7.781
0,256,16,2048,11.289
0,256,32,0,11.19
0,256,32,64,12.421
0,256,32,128,12.45
0,256,32,256,12.507
0,256,32,512,12.546
0,256,32,1024,12.717
0,256,32,2048,13.97
0,256,64,0,2.644
0,256,64,64,20.422
0,256,64,128,22.62
0,256,64,256,22.633
0,256,64,512,22.634
0,256,64,1024,22.766
0,256,64,2048,22.977
0,256,128,0,2.634
0,256,128,64,2.632
0,256,128,128,41.39
0,256,128,256,41.375
0,256,128,512,41.316
0,256,128,1024,41.335
0,256,128,2048,41.627
0,256,256,0,2.718
0,256,256,64,2.713
0,256,256,128,2.729
0,256,256,256,77.617
0,256,256,512,78.716
0,256,256,1024,78.897
0,256,256,2048,79.058
0,512,1,0,5.444
0,512,1,64,5.463
0,512,1,128,7.018
0,512,1,256,10.359
0,512,1,512,17.267
0,512,1,1024,30.945
0,512,1,2048,57.712
0,512,2,0,5.26
0,512,2,64,5.279
0,512,2,128,5.765
0,512,2,256,7.836
0,512,2,512,11.068
0,512,2,1024,17.757
0,512,2,2048,31.436
0,512,4,0,5.311
