prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
32,256,8,128,12.663
32,256,8,256,12.689
32,256,8,512,13.23
32,256,8,1024,14.526
32,256,8,2048,17.513
32,256,16,0,13.923
32,256,16,64,13.923
32,256,16,128,13.947
32,256,16,256,14.023
32,256,16,512,14.125
32,256,16,1024,14.454
32,256,16,2048,17.198
32,256,32,0,17.12
32,256,32,64,18.083
32,256,32,128,18.106
32,256,32,256,18.151
32,256,32,512,18.181
32,256,32,1024,18.315
32,256,32,2048,19.295
32,256,64,0,10.435
32,256,64,64,24.342
32,256,64,128,26.061
32,256,64,256,26.072
32,256,64,512,26.072
32,256,64,1024,26.176
32,256,64,2048,26.341
32,256,128,0,10.427
32,256,128,64,10.426
32,256,128,128,40.744
32,256,128,256,40.732
32,256,128,512,40.686
32,256,128,1024,40.701
32,256,128,2048,40.93
32,256,256,0,10.493
32,256,256,64,10.489
32,256,256,128,10.502
32,256,256,256,69.083
32,256,256,512,69.942
32,256,256,1024,70.084
32,256,256,2048,70.21
32,512,0,0,13.74
32,512,0,64,13.74
32,512,0,128,13.74
32,512,0,256,13.74
32,512,0,512,13.74
32,512,0,1024,13.74
32,512,0,2048,13.74
32,512,1,0,17.999
32,512,1,64,18.013
32,512,1,128,19.23
32,512,1,256,21.843
32,512,1,512,27.247
32,512,1,1024,37.947
32,512,1,2048,58.885
32,512,2,0,17.855
32,512,2,64,17.869
32,512,2,128,18.25
32,512,2,256,19.87
32,512,2,512,22.398
32,512,2,1024,27.63
32,512,2,2048,38.331
32,512,4,0,17.895
32,512,4,64,17.895
32,512,4,128,17.898
32,512,4,256,18.254
32,512,4,512,19.851
32,512,4,1024,22.414
32,512,4,2048,27.766
32,512,8,0,18.02
32,512,8,64,18.02
32,512,8,128,18.036
32,512,8,256,18.062
32,512,8,512,18.603
32,512,8,1024,19.899
32,512,8,2048,22.886
32,512,16,0,19.296
32,512,16,64,19.296
32,512,16,128,19.32
32,512,16,256,19.396
32,512,16,512,19.498
32,512,16,1024,19.827
32,512,16,2048,22.571
32,512,32,0,22.493
32,512,32,64,23.456
32,512,32,128,23.479
32,512,32,256,23.524
32,512,32,512,23.554
32,512,32,1024,23.688
32,512,32,2048,24.668
32,512,64,0,15.808
32,512,64,64,29.715
32,512,64,128,31.434
32,512,64,256,31.445
32,512,64,512,31.445
32,512,64,1024,31.549
32,512,64,2048,31.714
32,512,128,0,15.8
32,512,128,64,15.799
32,512,128,128,46.117
32,512,128,256,46.105
32,512,128,512,46.059
32,512,128,1024,46.074
32,512,128,2048,46.303
32,512,256,0,15.866
32,512,256,64,15.862
32,512,256,128,15.875
32,512,256,256,74.456
32,512,256,512,75.315
32,512,256,1024,75.457
32,512,256,2048,75.583
32,1024,0,0,24.46
32,1024,0,64,24.46
32,1024,0,128,24.46
32,1024,0,256,24.46
32,1024,0,512,24.46
32,1024,0,1024,24.46
32,1024,0,2048,24.46
32,1024,1,0,28.719
32,1024,1,64,28.733
32,1024,1,128,29.95
32,1024,1,256,32.563
32,1024,1,512,37.967
32,1024,1,1024,48.667
32,1024,1,2048,69.605
32,1024,2,0,28.575
32,1024,2,64,28.589
32,1024,2,128,28.97
32,1024,2,256,30.59
32,1024,2,512,33.118
32,1024,2,1024,38.35
32,1024,2,2048,49.051
32,1024,4,0,28.615
32,1024,4,64,28.615
32,1024,4,128,28.618
32,1024,4,256,28.974
32,1024,4,512,30.571
32,1024,4,1024,33.134
32,1024,4,2048,38.486
32,1024,8,0,28.74
32,1024,8,64,28.74
32,1024,8,128,28.756
32,1024,8,256,28.782
32,1024,8,512,29.323
32,1024,8,1024,30.619
32,1024,8,2048,33.606
32,1024,16,0,30.016
32,1024,16,64,30.016
32,1024,16,128,30.04
32,1024,16,256,30.116
32,1024,16,512,30.218
32,1024,16,1024,30.547
32,1024,16,2048,33.291
32,1024,32,0,33.213
32,1024,32,64,34.176
32,1024,32,128,34.199
32,1024,32,256,34.244
32,1024,32,512,34.274
32,1024,32,1024,34.408
32,1024,32,2048,35.388
32,1024,64,0,26.528
32,1024,64,64,40.435
32,1024,64,128,42.154
32,1024,64,256,42.165
32,1024,64,512,42.165
32,1024,64,1024,42.269
32,1024,64,2048,42.434
32,1024,128,0,26.52
32,1024,128,64,26.519
32,1024,128,128,56.837
32,1024,128,256,56.825
32,1024,128,512,56.779
32,1024,128,1024,56.794
32,1024,128,2048,57.023
32,1024,256,0,26.586
32,1024,256,64,26.582
32,1024,256,128,26.595
32,1024,256,256,85.176
32,1024,256,512,86.035
32,1024,256,1024,86.177
32,1024,256,2048,86.303
32,2048,0,0,45.042
32,2048,0,64,45.042
32,2048,0,128,45.042
32,2048,0,256,45.042
32,2048,0,512,45.042
32,2048,0,1024,45.042
32,2048,0,2048,45.042
32,2048,1,0,49.301
32,2048,1,64,49.315
32,2048,1,128,50.532
32,2048,1,256,53.145
32,2048,1,512,58.549
32,2048,1,1024,69.249
32,2048,1,2048,90.187
32,2048,2,0,49.157
32,2048,2,64,49.171
32,2048,2,128,49.552
32,2048,2,256,51.172
32,2048,2,512,53.7
32,2048,2,1024,58.932
32,2048,2,2048,69.633
32,2048,4,0,49.197
32,2048,4,64,49.197
32,2048,4,128,49.2
32,2048,4,256,49.556
32,2048,4,512,51.153
32,2048,4,1024,53.716
32,2048,4,2048,59.068
32,2048,8,0,49.322
32,2048,8,64,49.322
32,2048,8,128,49.338
32,2048,8,256,49.364
32,2048,8,512,49.905
32,2048,8,1024,51.201
32,2048,8,2048,54.188
32,2048,16,0,50.598
32,2048,16,64,50.598
32,2048,16,128,50.622
32,2048,16,256,50.698
32,2048,16,512,50.8
32,2048,16,1024,51.129
32,2048,16,2048,53.873
32,2048,32,0,53.795
32,2048,32,64,54.758
32,2048,32,128,54.781
32,2048,32,256,54.826
32,2048,32,512,54.856
32,2048,32,1024,54.99
32,2048,32,2048,55.97
32,2048,64,0,47.11
32,2048,64,64,61.017
32,2048,64,128,62.736
32,2048,64,256,62.747
32,2048,64,512,62.747
32,2048,64,1024,62.851
32,2048,64,2048,63.016
32,2048,128,0,47.102
32,2048,128,64,47.101
32,2048,128,128,77.419
32,2048,128,256,77.407
32,2048,128,512,77.361
32,2048,128,1024,77.376
32,2048,128,2048,77.605
32,2048,256,0,47.168
32,2048,256,64,47.164
32,2048,256,128,47.177
32,2048,256,256,105.758
32,2048,256,512,106.617
32,2048,256,1024,106.759
32,2048,256,2048,106.885
64,0,0,0,4.248
64,0,0,64,4.248
64,0,0,128,4.248
64,0,0,256,4.248
64,0,0,512,4.248
64,0,0,1024,4.248
64,0,0,2048,4.248
64,0,1,0,8.507
64,0,1,64,8.521
64,0,1,128,9.738
64,0,1,256,12.351
64,0,1,512,17.755
64,0,1,1024,28.455
64,0,1,2048,49.393
64,0,2,0,8.363
64,0,2,64,8.377
64,0,2,128,8.758
64,0,2,256,10.378
64,0,2,512,12.906
64,0,2,1024,18.138
64,0,2,2048,28.839
64,0,4,0,8.403
64,0,4,64,8.403
64,0,4,128,8.406
64,0,4,256,8.762
64,0,4,512,10.359
64,0,4,1024,12.922
64,0,4,2048,18.274
64,0,8,0,8.528
64,0,8,64,8.528
64,0,8,128,8.544
64,0,8,256,8.57
64,0,8,512,9.111
64,0,8,1024,10.407
64,0,8,2048,13.394
64,0,16,0,9.804
64,0,16,64,9.804
64,0,16,128,9.828
64,0,16,256,9.904
64,0,16,512,10.006
64,0,16,1024,10.335
64,0,16,2048,13.079
64,0,32,0,13.001
64,0,32,64,13.964
64,0,32,128,13.987
64,0,32,256,14.032
64,0,32,512,14.062
64,0,32,1024,14.196
64,0,32,2048,15.176
64,0,64,0,6.316
64,0,64,64,20.223
64,0,64,128,21.942
64,0,64,256,21.953
64,0,64,512,21.953
64,0,64,1024,22.057
64,0,64,2048,22.222
64,0,128,0,6.308
64,0,128,64,6.307
64,0,128,128,36.625
64,0,128,256,36.613
64,0,128,512,36.567
64,0,128,1024,36.582
64,0,128,2048,36.811
64,0,256,0,6.374
64,0,256,64,6.37
64,0,256,128,6.383
64,0,256,256,64.964
64,0,256,512,65.823
64,0,256,1024,65.965
64,0,256,2048,66.091
64,64,0,0,4.25
64,64,0,64,4.25
64,64,0,128,4.25
64,64,0,256,4.25
64,64,0,512,4.25
64,64,0,1024,4.25
64,64,0,2048,4.25
64,64,1,0,8.509
64,64,1,64,8.523
64,64,1,128,9.74
64,64,1,256,12.353
64,64,1,512,17.757
64,64,1,1024,28.457
64,64,1,2048,49.395
64,64,2,0,8.365
64,64,2,64,8.379
64,64,2,128,8.76
64,64,2,256,10.38
64,64,2,512,12.908
64,64,2,1024,18.14
64,64,2,2048,28.841
64,64,4,0,8.405
64,64,4,64,8.405
64,64,4,128,8.408
64,64,4,256,8.764
64,64,4,512,10.361
64,64,4,1024,12.924
64,64,4,2048,18.276
64,64,8,0,8.53
64,64,8,64,8.53
64,64,8,128,8.546
64,64,8,256,8.572
64,64,8,512,9.113
64,64,8,1024,10.409
64,64,8,2048,13.396
64,64,16,0,9.806
64,64,16,64,9.806
64,64,16,128,9.83
64,64,16,256,9.906
64,64,16,512,10.008
64,64,16,1024,10.337
64,64,16,2048,13.081
64,64,32,0,13.003
64,64,32,64,13.966
64,64,32,128,13.989
64,64,32,256,14.034
64,64,32,512,14.064
64,64,32,1024,14.198
64,64,32,2048,15.178
64,64,64,0,6.318
64,64,64,64,20.225
64,64,64,128,21.944
64,64,64,256,21.955
64,64,64,512,21.955
64,64,64,1024,22.059
64,64,64,2048,22.224
64,64,128,0,6.31
64,64,128,64,6.309
64,64,128,128,36.627
64,64,128,256,36.615
64,64,128,512,36.569
64,64,128,1024,36.584
64,64,128,2048,36.813
64,64,256,0,6.376
64,64,256,64,6.372
64,64,256,128,6.385
64,64,256,256,64.966
64,64,256,512,65.825
64,64,256,1024,65.967
64,64,256,2048,66.093
64,128,0,0,5.685
64,128,0,64,5.685
64,128,0,128,5.685
64,128,0,256,5.685
64,128,0,512,5.685
64,128,0,1024,5.685
64,128,0,2048,5.685
64,128,1,0,9.944
64,128,1,64,9.958
64,128,1,128,11.175
64,128,1,256,13.788
64,128,1,512,19.192
64,128,1,1024,29.892
64,128,1,2048,50.83
64,128,2,0,9.8
64,128,2,64,9.814
64,128,2,128,10.195
64,128,2,256,11.815
64,128,2,512,14.343
64,128,2,1024,19.575
64,128,2,2048,30.276
64,128,4,0,9.84
64,128,4,64,9.84
64,128,4,128,9.843
64,128,4,256,10.199
64,128,4,512,11.796
64,128,4,1024,14.359
64,128,4,2048,19.711
64,128,8,0,9.965
64,128,8,64,9.965
64,128,8,128,9.981
64,128,8,256,10.007
64,128,8,512,10.548
64,128,8,1024,11.844
64,128,8,2048,14.831
64,128,16,0,11.241
64,128,16,64,11.241
64,128,16,128,11.265
64,128,16,256,11.341
